SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree0	-11354.9	0	0	0	0.292	450.016	447.018	12.71
tree1	-11354.9	0	0	0	0.281	431.313	427.587	11.993
tree2	-11354.9	0	0	0	0.294	434.04	430.702	12.368
tree3	-11354.9	0	0	0	0.27	441.104	437.947	12.573
tree4	-11354.9	0	0	0	0.31	426.694	423.079	12.075
tree5	-11354.9	0	0	0	0.288	440.568	437.424	12.568
tree6	-11354.9	0	0	0	0.287	424.776	421	11.937
tree7	-11354.9	0	0	0	0.285	431.296	427.937	12.356
tree8	-11354.9	0	0	0	0.279	429.593	425.982	12.11
tree9	-11354.9	0	0	0	0.286	418.98	415.155	11.889
tree10	-11354.9	0	0	0	0.303	440.291	436.937	12.343
tree11	-11354.9	0	0	0	0.306	424.458	420.459	11.695
tree12	-11354.9	0	0	0	0.278	437.437	433.922	12.207
tree13	-11354.9	0	0	0	0.315	441.199	437.974	12.46
tree14	-11354.9	0	0	0	0.284	435.623	432.269	12.362
tree15	-11354.9	0	0	0	0.287	431.546	427.982	12.149
tree16	-11354.9	0	0	0	0.293	421.416	417.544	11.835
tree17	-11354.9	0	0	0	0.277	426.305	422.58	11.998
tree18	-11354.9	0	0	0	0.299	427.687	423.93	11.944
tree19	-11354.9	0	0	0	0.295	434.379	431.076	12.402
tree20	-11354.9	0	0	0	0.313	423.872	420.048	11.863
tree21	-11354.9	0	0	0	0.276	431.287	427.48	11.917
tree22	-11354.9	0	0	0	0.286	425.877	422.15	11.987
tree23	-11354.9	0	0	0	0.276	426.049	422.356	12.031
tree24	-11354.9	0	0	0	0.259	438.266	434.871	12.346
tree25	-11354.9	0	0	0	0.288	444.005	440.891	12.598
tree26	-11354.9	0	0	0	0.289	435.835	432.732	12.608
tree27	-11354.9	0	0	0	0.272	451.025	448.126	12.829
tree28	-11354.9	0	0	0	0.25	440.172	437.004	12.582
tree29	-11354.9	0	0	0	0.294	428.692	425.026	12.04
tree30	-11354.9	0	0	0	0.253	440.77	437.333	12.31
tree31	-11354.9	0	0	0	0.245	450.529	447.511	12.737
tree32	-11355	0	0	0	0.29	420.315	416.353	11.748
tree33	-11354.9	0	0	0	0.292	432.582	429.008	12.134
tree34	-11354.9	0	0	0	0.29	440.432	437.286	12.564
tree35	-11354.9	0	0	0	0.268	439.729	436.613	12.616
tree36	-11354.9	0	0	0	0.272	426.547	422.597	11.778
tree37	-11354.9	0	0	0	0.251	448.147	445.38	12.982
tree38	-11354.9	0	0	0	0.264	428.143	424.266	11.859
tree39	-11354.9	0	0	0	0.319	435.276	431.76	12.165
tree40	-11354.9	0	0	0	0.313	423.822	420.085	11.95
tree41	-11354.9	0	0	0	0.281	443.782	440.712	12.649
tree42	-11354.9	0	0	0	0.252	451.208	448.399	12.939
tree43	-11354.9	0	0	0	0.281	444.141	441.003	12.581
tree44	-11354.9	0	0	0	0.307	438.028	434.71	12.375
tree45	-11354.9	0	0	0	0.302	431.156	427.608	12.15
tree46	-11354.9	0	0	0	0.277	426.927	423.193	11.989
tree47	-11354.9	0	0	0	0.313	431.025	427.469	12.131
tree48	-11354.9	0	0	0	0.315	420.102	416.008	11.591
tree49	-11354.9	0	0	0	0.251	426.137	422.43	12.042
tree50	-11354.9	0	0	0	0.291	426.898	423.121	11.932
