SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree0	-11354.9	0.01	0	0	0.296	450.216	447.283	12.771
tree1	-11354.9	0.01	0	0	0.292	425.567	421.9	12.041
tree2	-11354.9	0.01	0	0	0.265	433.147	429.917	12.505
tree3	-11354.9	0.01	0	0	0.275	435.666	432.371	12.43
tree4	-11354.9	0.01	0	0	0.305	423.774	419.816	11.737
tree5	-11354.9	0.01	0	0	0.305	446.326	443.309	12.678
tree6	-11354.9	0.01	0	0	0.318	423.628	419.704	11.758
tree7	-11354.9	0.01	0	0	0.267	442.19	439.103	12.646
tree8	-11354.9	0.01	0	0	0.293	432.665	429.205	12.247
tree9	-11354.9	0.01	0	0	0.304	422.612	418.708	11.792
tree10	-11354.9	0.01	0	0	0.282	439.141	435.835	12.412
tree11	-11354.9	0.01	0	0	0.289	429.061	425.42	12.07
tree12	-11354.9	0.01	0	0	0.296	442.621	439.535	12.618
tree13	-11354.9	0.01	0	0	0.289	439.473	436.182	12.42
tree14	-11354.9	0.01	0	0	0.285	427.028	423.476	12.163
tree15	-11354.9	0.01	0	0	0.267	428.655	425.169	12.247
tree16	-11355	0.01	0	0	0.283	420.855	416.753	11.615
tree17	-11354.9	0.01	0	0	0.268	429.996	426.327	12.063
tree18	-11354.9	0.01	0	0	0.284	425.964	422.369	12.121
tree19	-11354.9	0.01	0	0	0.283	435.591	432.165	12.291
tree20	-11355	0.01	0	0	0.287	422.188	418.26	11.785
tree21	-11355	0.01	0	0	0.286	425.646	421.556	11.624
tree22	-11355	0.01	0	0	0.266	423.095	419.344	11.983
tree23	-11354.9	0.01	0	0	0.292	426.363	422.548	11.893
tree24	-11354.9	0.01	0	0	0.274	445.207	442.109	12.628
tree25	-11354.9	0.01	0	0	0.271	447.897	444.855	12.687
tree26	-11354.9	0.01	0	0	0.278	437.848	434.595	12.469
tree27	-11354.9	0.01	0	0	0.263	447.075	444.168	12.83
tree28	-11354.9	0.01	0	0	0.288	437.092	433.689	12.309
tree29	-11354.9	0.01	0	0	0.299	416.291	412.156	11.566
tree30	-11354.9	0.01	0	0	0.271	449.566	446.504	12.667
tree31	-11354.9	0.01	0	0	0.26	448.399	445.511	12.852
tree32	-11355	0.01	0	0	0.284	426.138	422.565	12.143
tree33	-11354.9	0.01	0	0	0.306	433.009	429.581	12.266
tree34	-11354.9	0.01	0	0	0.286	438.088	435.009	12.635
tree35	-11355	0.01	0	0	0.305	443.201	440.17	12.664
tree36	-11355	0.01	0	0	0.266	427.492	423.656	11.898
tree37	-11354.9	0.01	0	0	0.266	451.106	448.288	12.916
tree38	-11355	0.01	0	0	0.275	423.808	420.094	12.011
tree39	-11354.9	0.01	0	0	0.28	436.789	433.219	12.15
tree40	-11355	0.01	0	0	0.317	417.661	413.574	11.596
tree41	-11354.9	0.01	0	0	0.268	446.805	443.715	12.642
tree42	-11354.9	0.01	0	0	0.255	454.487	451.725	12.983
tree43	-11354.9	0.01	0	0	0.286	436.943	433.516	12.287
tree44	-11354.9	0.01	0	0	0.274	428.655	424.905	11.976
tree45	-11354.9	0.01	0	0	0.302	432.313	428.958	12.343
tree46	-11354.9	0.01	0	0	0.273	425.674	422.049	12.102
tree47	-11354.9	0.01	0	0	0.296	436.196	432.828	12.336
tree48	-11355	0.01	0	0	0.283	414.239	410.177	11.655
tree49	-11354.9	0.01	0	0	0.305	424.244	420.637	12.088
tree50	-11355	0.01	0	0	0.272	430.852	427.192	12.068
tree51	-11354.9	0.01	0	0	0.301	420.06	416.175	11.814
tree52	-11354.9	0.01	0	0	0.286	444.125	440.772	12.361
tree53	-11355	0.01	0	0	0.254	424.941	421.082	11.887
tree54	-11354.9	0.01	0	0	0.33	430.858	427.333	12.145
tree55	-11354.9	0.01	0	0	0.294	429.649	426.107	12.164
tree56	-11355	0.01	0	0	0.304	434.523	431.04	12.213
tree57	-11354.9	0.01	0	0	0.253	450.929	448.248	13.066
tree58	-11354.9	0.01	0	0	0.281	435.127	431.621	12.213
tree59	-11355	0.01	0	0	0.282	428.443	424.884	12.159
tree60	-11354.9	0.01	0	0	0.295	421.163	417.272	11.814
tree61	-11354.9	0.01	0	0	0.275	433.958	430.444	12.211
tree62	-11355	0.01	0	0	0.276	436.071	432.655	12.308
tree63	-11355	0.01	0	0	0.264	419.18	415.16	11.716
tree64	-11354.9	0.01	0	0	0.328	433.124	429.742	12.29
tree65	-11354.9	0.01	0	0	0.29	428.421	424.8	12.089
tree66	-11355	0.01	0	0	0.305	426.292	422.498	11.901
tree67	-11354.9	0.01	0	0	0.282	440.111	436.803	12.41
tree68	-11355	0.01	0	0	0.278	422.894	418.787	11.615
tree69	-11354.9	0.01	0	0	0.295	433.409	429.86	12.156
tree70	-11354.9	0.01	0	0	0.322	436.02	432.628	12.286
tree71	-11355	0.01	0	0	0.284	427.236	423.29	11.77
tree72	-11355	0.01	0	0	0.284	426.596	422.694	11.814
tree73	-11354.9	0.01	0	0	0.298	442.778	439.857	12.781
tree74	-11354.9	0.01	0	0	0.269	433.711	430.41	12.43
tree75	-11354.9	0.01	0	0	0.28	434.708	431.161	12.173
tree76	-11354.9	0.01	0	0	0.278	434.138	430.739	12.323
tree77	-11354.9	0.01	0	0	0.285	432.314	428.848	12.249
tree78	-11354.9	0.01	0	0	0.29	448.241	445.173	12.642
tree79	-11355	0.01	0	0	0.285	422.687	418.838	11.866
tree80	-11354.9	0.01	0	0	0.289	439.672	436.457	12.496
tree81	-11354.9	0.01	0	0	0.277	438.682	435.351	12.392
tree82	-11355	0.01	0	0	0.275	428.888	425.279	12.116
tree83	-11354.9	0.01	0	0	0.299	434.07	430.429	12.06
tree84	-11354.9	0.01	0	0	0.289	424.833	420.952	11.83
tree85	-11354.9	0.01	0	0	0.284	437.487	434.124	12.353
tree86	-11354.9	0.01	0	0	0.296	428.67	425.054	12.088
tree87	-11354.9	0.01	0	0	0.297	442.52	439.841	13.024
tree88	-11354.9	0.01	0	0	0.261	433.388	429.789	12.14
tree89	-11354.9	0.01	0	0	0.278	437.415	434.078	12.385
tree90	-11355	0.01	0	0	0.266	425.74	421.872	11.866
tree91	-11354.9	0.01	0	0	0.283	430.301	426.679	12.095
tree92	-11354.9	0.01	0	0	0.286	439.122	435.854	12.446
tree93	-11355	0.01	0	0	0.303	446.147	443.077	12.627
tree94	-11354.9	0.01	0	0	0.275	438.648	435.324	12.401
tree95	-11354.9	0.01	0	0	0.297	433.224	429.888	12.367
tree96	-11354.9	0.01	0	0	0.273	437.781	434.283	12.229
tree97	-11354.9	0.01	0	0	0.279	435.577	432.136	12.28
tree98	-11354.9	0.01	0	0	0.307	437.497	434.077	12.273
tree99	-11355	0.01	0	0	0.286	422.488	418.404	11.63
tree100	-11354.9	0.01	0	0	0.3	443.477	440.43	12.653
tree101	-11355	0.01	0	0	0.285	440.332	436.956	12.339
tree102	-11354.9	0.01	0	0	0.315	423.272	419.523	11.936
tree103	-11355	0.01	0	0	0.294	438.107	434.936	12.535
tree104	-11354.9	0.01	0	0	0.292	433.632	430.032	12.108
tree105	-11354.9	0.01	0	0	0.273	436.658	433.235	12.304
tree106	-11354.9	0.01	0	0	0.269	454.827	452.244	13.148
tree107	-11354.9	0.01	0	0	0.289	436.973	433.708	12.446
tree108	-11355	0.01	0	0	0.279	429.925	426.466	12.262
tree109	-11355	0.01	0	0	0.295	435.511	432.014	12.208
tree110	-11354.9	0.01	0	0	0.274	422.831	419.079	11.974
tree111	-11354.9	0.01	0	0	0.284	436.788	433.291	12.219
tree112	-11354.9	0.01	0	0	0.29	437.957	434.795	12.548
tree113	-11355	0.01	0	0	0.31	423.633	419.666	11.723
tree114	-11354.9	0.01	0	0	0.268	421.054	417.071	11.749
tree115	-11354.9	0.01	0	0	0.277	441.361	438.163	12.525
tree116	-11354.9	0.01	0	0	0.287	438.403	434.914	12.224
tree117	-11354.9	0.01	0	0	0.324	422.505	418.822	11.993
tree118	-11354.9	0.01	0	0	0.327	426.409	422.475	11.739
tree119	-11354.9	0.01	0	0	0.305	449.089	446.328	12.934
tree120	-11354.9	0.01	0	0	0.289	429.512	426.034	12.233
tree121	-11354.9	0.01	0	0	0.284	443.632	440.432	12.516
tree122	-11354.9	0.01	0	0	0.27	426.223	422.517	12.024
tree123	-11355	0.01	0	0	0.269	432.13	428.524	12.125
tree124	-11354.9	0.01	0	0	0.26	427.384	423.608	11.964
tree125	-11354.9	0.01	0	0	0.309	424.035	420.302	11.958
tree126	-11354.9	0.01	0	0	0.291	423.364	419.421	11.766
tree127	-11355	0.01	0	0	0.292	417.645	413.679	11.742
tree128	-11354.9	0.01	0	0	0.289	426.857	422.993	11.847
tree129	-11355	0.01	0	0	0.258	424.759	420.802	11.785
tree130	-11355	0.01	0	0	0.28	417.617	413.634	11.737
tree131	-11354.9	0.01	0	0	0.262	439.09	435.685	12.333
tree132	-11354.9	0.01	0	0	0.278	449.331	446.37	12.761
tree133	-11354.9	0.01	0	0	0.252	438.082	434.734	12.4
tree134	-11354.9	0.01	0	0	0.27	434.561	431.198	12.367
tree135	-11355	0.01	0	0	0.301	420.105	416.395	11.989
tree136	-11354.9	0.01	0	0	0.246	436.383	432.845	12.216
tree137	-11354.9	0.01	0	0	0.308	437.441	433.91	12.161
tree138	-11354.9	0.01	0	0	0.287	452.773	450.124	13.064
tree139	-11354.9	0.01	0	0	0.282	444.324	441.346	12.74
tree140	-11355	0.01	0	0	0.287	433.154	429.496	12.055
tree141	-11354.9	0.01	0	0	0.274	421.587	417.842	11.981
tree142	-11355	0.01	0	0	0.298	424.636	420.773	11.839
tree143	-11354.9	0.01	0	0	0.296	435.089	431.759	12.374
tree144	-11354.9	0.01	0	0	0.264	446.923	443.829	12.642
tree145	-11354.9	0.01	0	0	0.3	431.946	428.308	12.062
tree146	-11354.9	0.01	0	0	0.272	430.05	426.439	12.117
tree147	-11354.9	0.01	0	0	0.272	445.097	441.897	12.528
tree148	-11354.9	0.01	0	0	0.275	433.051	429.411	12.085
tree149	-11354.9	0.01	0	0	0.278	431.476	427.75	11.996
tree150	-11355	0.01	0	0	0.286	422.88	419.07	11.904
tree151	-11354.9	0.01	0	0	0.272	421.803	418.034	11.959
tree152	-11355	0.01	0	0	0.293	429.672	426.186	12.221
tree153	-11354.9	0.01	0	0	0.305	438.999	435.738	12.434
tree154	-11354.9	0.01	0	0	0.265	428.513	424.632	11.854
tree155	-11355	0.01	0	0	0.291	425.96	422.313	12.062
tree156	-11354.9	0.01	0	0	0.261	434.367	431.04	12.412
tree157	-11354.9	0.01	0	0	0.301	428.086	424.146	11.759
tree158	-11354.9	0.01	0	0	0.261	444.258	441.163	12.644
tree159	-11355	0.01	0	0	0.3	430.367	426.658	11.991
tree160	-11354.9	0.01	0	0	0.291	444.961	441.673	12.421
tree161	-11354.9	0.01	0	0	0.308	447.378	444.546	12.86
tree162	-11354.9	0.01	0	0	0.274	433.885	430.402	12.243
tree163	-11354.9	0.01	0	0	0.303	446.234	443.218	12.681
tree164	-11354.9	0.01	0	0	0.29	429.5	425.686	11.896
tree165	-11355	0.01	0	0	0.26	422.961	419.043	11.822
tree166	-11354.9	0.01	0	0	0.279	447.21	444.11	12.621
tree167	-11354.9	0.01	0	0	0.31	418.966	415.087	11.811
tree168	-11354.9	0.01	0	0	0.277	424.697	420.951	11.977
tree169	-11354.9	0.01	0	0	0.29	432.735	429.322	12.297
tree170	-11354.9	0.01	0	0	0.305	431.036	427.341	12
tree171	-11355	0.01	0	0	0.294	429.689	425.821	11.838
tree172	-11354.9	0.01	0	0	0.315	424.234	420.649	12.1
tree173	-11354.9	0.01	0	0	0.308	430.876	427.169	11.985
tree174	-11355	0.01	0	0	0.314	428.205	424.597	12.078
tree175	-11354.9	0.01	0	0	0.259	439.999	436.657	12.399
tree176	-11355	0.01	0	0	0.245	440.737	437.269	12.287
tree177	-11354.9	0.01	0	0	0.253	444.874	441.781	12.654
tree178	-11355	0.01	0	0	0.298	429.249	425.615	12.068
tree179	-11354.9	0.01	0	0	0.281	448.723	445.758	12.754
tree180	-11355	0.01	0	0	0.274	429.778	426.11	12.058
tree181	-11354.9	0.01	0	0	0.264	445.596	442.541	12.681
tree182	-11354.9	0.01	0	0	0.278	439.712	436.283	12.293
tree183	-11355	0.01	0	0	0.295	435.878	432.284	12.111
tree184	-11354.9	0.01	0	0	0.282	436.841	433.608	12.485
tree185	-11354.9	0.01	0	0	0.308	417.595	413.612	11.709
tree186	-11354.9	0.01	0	0	0.287	433.743	430.46	12.43
tree187	-11354.9	0.01	0	0	0.277	444.293	440.997	12.427
tree188	-11355	0.01	0	0	0.305	426.999	423.354	12.05
tree189	-11354.9	0.01	0	0	0.295	444.61	441.711	12.806
tree190	-11355	0.01	0	0	0.294	429.245	425.396	11.857
tree191	-11354.9	0.01	0	0	0.278	444.575	441.506	12.653
tree192	-11354.9	0.01	0	0	0.273	433.662	430.382	12.447
tree193	-11355	0.01	0	0	0.306	427.895	424.216	12.015
tree194	-11354.9	0.01	0	0	0.285	433.807	430.43	12.338
tree195	-11355	0.01	0	0	0.282	422.111	418.162	11.769
tree196	-11355	0.01	0	0	0.293	422.932	419.055	11.83
tree197	-11354.9	0.01	0	0	0.284	430.391	426.76	12.085
tree198	-11354.9	0.01	0	0	0.302	440.456	437.326	12.568
tree199	-11355	0.01	0	0	0.297	426.953	423.147	11.897
tree200	-11354.9	0.01	0	0	0.285	445.527	442.43	12.618
tree201	-11354.9	0.01	0	0	0.289	426.326	422.688	12.073
tree202	-11355	0.01	0	0	0.289	423.03	419.26	11.941
tree203	-11354.9	0.01	0	0	0.273	433.517	429.93	12.14
tree204	-11354.9	0.01	0	0	0.26	450.69	447.891	12.941
tree205	-11354.9	0.01	0	0	0.301	443.309	440.128	12.518
tree206	-11354.9	0.01	0	0	0.258	423.845	419.997	11.894
tree207	-11355	0.01	0	0	0.292	431.236	427.666	12.138
tree208	-11354.9	0.01	0	0	0.272	437.518	434.464	12.674
tree209	-11354.9	0.01	0	0	0.269	452.032	449.273	12.972
tree210	-11354.9	0.01	0	0	0.259	433.829	430.121	12.033
tree211	-11354.9	0.01	0	0	0.314	442.479	439.417	12.624
tree212	-11354.9	0.01	0	0	0.28	425.563	421.877	12.034
tree213	-11354.9	0.01	0	0	0.259	444.99	441.864	12.615
tree214	-11355	0.01	0	0	0.289	430.15	426.341	11.902
tree215	-11354.9	0.01	0	0	0.299	425.679	422.114	12.136
tree216	-11354.9	0.01	0	0	0.296	446.671	443.768	12.801
tree217	-11354.9	0.01	0	0	0.282	432.68	429.163	12.201
tree218	-11354.9	0.01	0	0	0.29	443.887	440.664	12.487
tree219	-11354.9	0.01	0	0	0.281	449.321	446.548	12.946
tree220	-11355	0.01	0	0	0.316	432.602	428.972	12.054
tree221	-11354.9	0.01	0	0	0.31	426.69	422.878	11.878
tree222	-11354.9	0.01	0	0	0.278	421.213	417.332	11.841
tree223	-11354.9	0.01	0	0	0.277	430.602	427.115	12.236
tree224	-11354.9	0.01	0	0	0.268	431.197	427.879	12.414
tree225	-11354.9	0.01	0	0	0.277	425.642	421.875	11.956
tree226	-11354.9	0.01	0	0	0.291	453.622	451.087	13.174
tree227	-11355	0.01	0	0	0.317	418.931	414.763	11.515
tree228	-11354.9	0.01	0	0	0.296	441.495	438.303	12.512
tree229	-11354.9	0.01	0	0	0.286	453.855	451.039	12.898
tree230	-11354.9	0.01	0	0	0.266	449.503	446.457	12.688
tree231	-11354.9	0.01	0	0	0.31	428.964	425.209	11.935
tree232	-11354.9	0.01	0	0	0.309	424.926	421.216	11.981
tree233	-11354.9	0.01	0	0	0.27	448.485	445.247	12.492
tree234	-11354.9	0.01	0	0	0.275	428.118	424.543	12.15
tree235	-11355	0.01	0	0	0.277	426.908	422.954	11.769
tree236	-11354.9	0.01	0	0	0.285	429.568	425.865	12.012
tree237	-11354.9	0.01	0	0	0.284	427.735	424.108	12.089
tree238	-11354.9	0.01	0	0	0.306	421.994	418.058	11.758
tree239	-11354.9	0.01	0	0	0.283	448.975	446.072	12.814
tree240	-11355	0.01	0	0	0.273	422.453	418.703	11.977
tree241	-11354.9	0.01	0	0	0.296	434.795	431.332	12.241
tree242	-11355	0.01	0	0	0.258	420.083	416.014	11.673
tree243	-11354.9	0.01	0	0	0.272	463.016	460.586	13.298
tree244	-11354.9	0.01	0	0	0.299	437.892	434.554	12.363
tree245	-11354.9	0.01	0	0	0.278	430.606	427.07	12.186
tree246	-11354.9	0.01	0	0	0.294	427.052	423.469	12.123
tree247	-11354.9	0.01	0	0	0.322	426.212	422.826	12.292
tree248	-11355	0.01	0	0	0.304	418.135	414.145	11.706
tree249	-11355	0.01	0	0	0.299	426.935	423.407	12.173
tree250	-11354.9	0.01	0	0	0.256	436.562	433.38	12.562
tree251	-11354.9	0.01	0	0	0.289	423.658	419.85	11.903
tree252	-11354.9	0.01	0	0	0.265	443.404	440.406	12.737
tree253	-11354.9	0.01	0	0	0.316	418.92	415.017	11.781
tree254	-11354.9	0.01	0	0	0.296	438.654	435.309	12.359
tree255	-11355	0.01	0	0	0.285	425.849	422.175	12.041
tree256	-11354.9	0.01	0	0	0.281	424.363	420.535	11.891
tree257	-11354.9	0.01	0	0	0.291	430.607	427.078	12.18
tree258	-11354.9	0.01	0	0	0.291	432.612	429.359	12.456
tree259	-11354.9	0.01	0	0	0.279	441.989	438.843	12.575
tree260	-11354.9	0.01	0	0	0.277	430.072	426.45	12.101
tree261	-11355	0.01	0	0	0.3	424.046	420.267	11.921
tree262	-11354.9	0.01	0	0	0.295	432.194	428.878	12.389
tree263	-11354.9	0.01	0	0	0.284	432.094	428.458	12.08
tree264	-11354.9	0.01	0	0	0.282	443.297	440.218	12.639
tree265	-11354.9	0.01	0	0	0.29	428.715	425.107	12.102
tree266	-11354.9	0.01	0	0	0.269	421.544	417.546	11.733
tree267	-11354.9	0.01	0	0	0.294	439.003	435.644	12.347
tree268	-11355	0.01	0	0	0.302	430.341	426.699	12.056
tree269	-11354.9	0.01	0	0	0.298	433.372	429.833	12.163
tree270	-11354.9	0.01	0	0	0.312	432.122	428.512	12.078
tree271	-11354.9	0.01	0	0	0.284	446.662	443.665	12.719
tree272	-11355	0.01	0	0	0.29	438.34	435.117	12.487
tree273	-11354.9	0.01	0	0	0.295	429.406	425.809	12.108
tree274	-11354.9	0.01	0	0	0.277	431.591	427.892	12.024
tree275	-11354.9	0.01	0	0	0.292	427.974	424.215	11.949
tree276	-11355	0.01	0	0	0.313	428.1	424.325	11.912
tree277	-11354.9	0.01	0	0	0.302	434.613	431.226	12.311
tree278	-11354.9	0.01	0	0	0.261	432.302	428.639	12.076
tree279	-11354.9	0.01	0	0	0.285	426.663	422.929	11.981
tree280	-11355	0.01	0	0	0.278	429.433	426.023	12.312
tree281	-11354.9	0.01	0	0	0.249	431.024	427.482	12.209
tree282	-11354.9	0.01	0	0	0.316	435.925	432.479	12.238
tree283	-11354.9	0.01	0	0	0.272	431.383	427.851	12.196
tree284	-11354.9	0.01	0	0	0.27	448.869	445.882	12.743
tree285	-11354.9	0.01	0	0	0.279	433.078	429.79	12.433
tree286	-11354.9	0.01	0	0	0.318	438.13	434.764	12.316
tree287	-11354.9	0.01	0	0	0.289	442.129	438.818	12.4
tree288	-11354.9	0.01	0	0	0.253	440.964	437.607	12.39
tree289	-11354.9	0.01	0	0	0.315	432.854	429.37	12.201
tree290	-11354.9	0.01	0	0	0.279	444.028	440.849	12.542
tree291	-11355	0.01	0	0	0.285	423.966	420.294	12.043
tree292	-11354.9	0.01	0	0	0.26	435.609	432.394	12.525
tree293	-11354.9	0.01	0	0	0.292	432.393	428.824	12.139
tree294	-11355	0.01	0	0	0.302	416.366	412.301	11.633
tree295	-11355	0.01	0	0	0.31	427.191	423.299	11.798
