SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree0	-65.787	0.300555	0	0.788054	6.487	0	29.378	38.891
tree1	-64.0271	0.285467	0	0.758085	6.407	0	27.645	37.238
tree2	-71.4679	0.317876	0	0.835331	7.403	0	32.95	41.547
tree3	-72.911	0.317293	0	0.847886	7.422	0	33.942	42.52
tree4	-65.8073	0.281707	0	0.760745	6.394	0	28.581	38.187
tree5	-75.5336	0.314929	0	0.859145	7.455	0	36.355	44.9
tree6	-65.8073	0.281707	0	0.760745	6.37	0	28.575	38.205
tree7	-73.2108	0.315562	0	0.837696	7.436	0	34.027	42.591
tree8	-71.5648	0.312636	0	0.831769	7.407	0	32.897	41.49
tree9	-65.8073	0.281707	0	0.760745	6.426	0	28.668	38.242
tree10	-72.2549	0.32478	0	0.849832	7.448	0	34.394	42.946
tree11	-65.9474	0.282478	0	0.760809	6.415	0	28.694	38.279
tree12	-67.6379	0.293738	0	0.780525	6.618	0	29.802	39.184
tree13	-68.6666	0.317659	0	0.819833	7.425	0	30.961	39.536
tree14	-70.6211	0.316865	0	0.822041	7.392	0	31.828	40.436
tree15	-71.9439	0.312326	0	0.827731	7.4	0	32.848	41.448
tree16	-67.5357	0.276968	0	0.76792	6.448	0	29.659	39.211
tree17	-62.7886	0.288429	0	0.751806	6.393	0	26.555	36.162
tree18	-64.4759	0.282386	0	0.752647	6.415	0	27.61	37.195
tree19	-70.1679	0.317286	0	0.827359	7.438	0	31.938	40.5
tree20	-66.1082	0.28125	0	0.760194	6.378	0	28.534	38.156
tree21	-71.8614	0.314764	0	0.829878	7.41	0	32.906	41.496
tree22	-65.9729	0.279646	0	0.757232	6.389	0	28.57	38.181
tree23	-65.8073	0.281707	0	0.760745	6.403	0	28.59	38.187
tree24	-69.7656	0.324814	0	0.840727	7.437	0	32.067	40.63
tree25	-71.5597	0.324325	0	0.867261	7.477	0	34.571	43.094
tree26	-73.2108	0.315562	0	0.837696	7.429	0	33.937	42.508
tree27	-68.9716	0.330195	0	0.849076	7.485	0	32.508	41.023
tree28	-75.9078	0.316496	0	0.856849	7.414	0	36.207	44.793
tree29	-65.8073	0.281707	0	0.760745	6.349	0	28.481	38.132
tree30	-72.4823	0.292255	0	0.809799	6.517	0	33.526	43.009
tree31	-64.6368	0.256217	0	0.731882	5.443	0	28.377	38.934
tree32	-70.2349	0.298668	0	0.785402	6.93	0	30.301	39.371
tree33	-71.9439	0.312326	0	0.827731	7.359	0	32.755	41.396
tree34	-67.3318	0.299006	0	0.792975	6.612	0	29.802	39.19
tree35	-72.7866	0.289094	0	0.802897	6.488	0	33.376	42.888
tree36	-66.1082	0.28125	0	0.760194	6.412	0	28.555	38.143
tree37	-67.2179	0.299944	0	0.799118	6.513	0	30.486	39.973
tree38	-72.246	0.309471	0	0.818562	7.388	0	32.808	41.42
tree39	-70.5925	0.314418	0	0.821868	7.384	0	31.839	40.455
tree40	-66.1044	0.28125	0	0.760194	6.397	0	28.547	38.15
tree41	-69.7656	0.324814	0	0.840727	7.472	0	32.136	40.664
tree42	-64.3106	0.308204	0	0.794051	6.555	0	28.597	38.042
tree43	-68.6666	0.317659	0	0.819833	7.416	0	31.008	39.592
tree44	-72.1026	0.312067	0	0.82575	7.436	0	33.068	41.632
tree45	-65.4756	0.287161	0	0.773267	6.436	0	28.711	38.275
tree46	-64.1458	0.285757	0	0.754187	6.435	0	27.716	37.281
tree47	-71.9439	0.312326	0	0.827731	7.388	0	32.874	41.486
tree48	-66.3029	0.280702	0	0.758245	6.402	0	28.584	38.182
tree49	-57.8002	0.250189	0	0.682855	5.415	0	23.291	33.876
tree50	-71.8679	0.314764	0	0.829878	7.372	0	32.785	41.413
tree51	-66.2321	0.278753	0	0.757338	6.424	0	28.627	38.203
tree52	-68.6666	0.317659	0	0.819833	7.435	0	30.889	39.454
tree53	-65.7774	0.283197	0	0.763737	6.414	0	28.609	38.195
tree54	-64.1458	0.285757	0	0.754187	6.438	0	27.63	37.192
tree55	-64.1458	0.285757	0	0.754187	6.443	0	27.682	37.239
tree56	-73.5295	0.31561	0	0.834562	7.402	0	33.841	42.439
tree57	-67.2179	0.299944	0	0.799118	6.528	0	30.537	40.009
tree58	-62.0894	0.291487	0	0.76261	6.498	0	26.944	36.446
tree59	-73.7388	0.310806	0	0.826914	7.385	0	33.792	42.407
tree60	-65.8073	0.281707	0	0.760745	6.394	0	28.649	38.255
tree61	-73.2108	0.315562	0	0.837696	7.411	0	33.894	42.483
tree62	-71.8679	0.314764	0	0.829878	7.394	0	32.85	41.456
tree63	-65.7774	0.283197	0	0.763737	6.403	0	28.585	38.182
tree64	-71.9439	0.312326	0	0.827731	7.403	0	32.989	41.586
tree65	-62.7886	0.288429	0	0.751806	6.457	0	26.708	36.251
tree66	-65.7774	0.283197	0	0.763737	6.387	0	28.535	38.148
tree67	-67.3318	0.299006	0	0.792975	6.685	0	29.999	39.314
tree68	-66.1082	0.28125	0	0.760194	6.34	0	28.429	38.089
tree69	-62.425	0.287484	0	0.753561	6.459	0	26.788	36.329
tree70	-69.0013	0.321986	0	0.821779	7.396	0	30.842	39.446
tree71	-66.1082	0.28125	0	0.760194	6.39	0	28.55	38.16
tree72	-66.1082	0.28125	0	0.760194	6.405	0	28.599	38.194
tree73	-72.4823	0.292255	0	0.809799	6.487	0	33.411	42.924
tree74	-73.2108	0.315562	0	0.837696	7.421	0	33.959	42.538
tree75	-73.2108	0.315562	0	0.837696	7.426	0	33.996	42.57
tree76	-62.425	0.287484	0	0.753561	6.436	0	26.767	36.331
tree77	-62.0894	0.291487	0	0.76261	6.474	0	26.865	36.391
tree78	-71.5597	0.324325	0	0.867261	7.498	0	34.558	43.06
tree79	-65.7739	0.278762	0	0.75647	6.377	0	28.539	38.162
tree80	-72.911	0.317293	0	0.847886	7.421	0	34.015	42.594
tree81	-72.911	0.317293	0	0.847886	7.433	0	34	42.567
tree82	-71.8679	0.314764	0	0.829878	7.373	0	32.89	41.517
tree83	-71.9439	0.312326	0	0.827731	7.433	0	32.987	41.554
tree84	-62.425	0.287484	0	0.753561	6.474	0	26.814	36.34
tree85	-67.3318	0.299006	0	0.792975	6.609	0	29.806	39.197
tree86	-71.9439	0.312326	0	0.827731	7.388	0	32.95	41.562
tree87	-66.3045	0.25354	0	0.734434	5.448	0	29.285	39.837
tree88	-62.425	0.287484	0	0.753561	6.46	0	26.749	36.289
tree89	-71.8687	0.326536	0	0.858883	7.445	0	34.425	42.98
tree90	-72.0568	0.307985	0	0.823439	7.392	0	32.792	41.4
tree91	-71.5648	0.312636	0	0.831769	7.385	0	32.803	41.418
tree92	-69.7656	0.324814	0	0.840727	7.488	0	32.201	40.713
tree93	-72.7866	0.289094	0	0.802897	6.476	0	33.362	42.886
tree94	-64.8068	0.298255	0	0.762447	6.594	0	27.78	37.186
tree95	-72.911	0.317293	0	0.847886	7.399	0	33.898	42.499
tree96	-73.2108	0.315562	0	0.837696	7.419	0	34	42.581
tree97	-73.2108	0.315562	0	0.837696	7.429	0	34.004	42.575
tree98	-71.9439	0.312326	0	0.827731	7.344	0	32.754	41.41
tree99	-66.1082	0.28125	0	0.760194	6.367	0	28.478	38.111
tree100	-72.4823	0.292255	0	0.809799	6.504	0	33.466	42.962
tree101	-72.7867	0.289094	0	0.802897	6.505	0	33.422	42.917
tree102	-65.8073	0.281707	0	0.760745	6.372	0	28.522	38.15
tree103	-73.23	0.315139	0	0.83996	7.388	0	33.875	42.487
tree104	-71.5648	0.312636	0	0.831769	7.41	0	32.889	41.479
tree105	-72.7397	0.339689	0	0.854912	7.98	0	32.817	40.837
tree106	-64.3664	0.300412	0	0.800205	6.448	0	29.059	38.611
tree107	-73.2108	0.315562	0	0.837696	7.386	0	33.891	42.505
tree108	-68.9389	0.279527	0	0.773923	6.362	0	30.813	40.451
tree109	-73.23	0.315139	0	0.83996	7.411	0	33.944	42.533
tree110	-65.7202	0.285628	0	0.768588	6.406	0	28.666	38.26
tree111	-73.2108	0.315562	0	0.837696	7.372	0	33.9	42.528
tree112	-71.8687	0.326536	0	0.858883	7.451	0	34.446	42.995
tree113	-66.1082	0.28125	0	0.760194	6.391	0	28.534	38.143
tree114	-65.8073	0.281707	0	0.760745	6.417	0	28.604	38.187
tree115	-71.9425	0.324979	0	0.857822	7.456	0	34.485	43.029
tree116	-67.8353	0.295316	0	0.783743	6.61	0	29.794	39.184
tree117	-64.3272	0.282401	0	0.750493	6.373	0	27.506	37.133
tree118	-64.0271	0.285467	0	0.758085	6.417	0	27.611	37.194
tree119	-71.5597	0.324325	0	0.867261	7.476	0	34.513	43.037
tree120	-73.2108	0.315562	0	0.837696	7.372	0	33.884	42.512
tree121	-67.3318	0.299006	0	0.792975	6.678	0	29.962	39.284
tree122	-71.9439	0.312326	0	0.827731	7.403	0	32.936	41.533
tree123	-73.5251	0.310607	0	0.831267	7.4	0	33.903	42.503
tree124	-70.6211	0.316865	0	0.822041	7.389	0	31.801	40.412
tree125	-65.8073	0.281707	0	0.760745	6.409	0	28.601	38.192
tree126	-62.7423	0.284905	0	0.745684	6.439	0	27.02	36.581
tree127	-65.7774	0.283197	0	0.763737	6.385	0	28.531	38.146
tree128	-65.8073	0.281707	0	0.760745	6.42	0	28.634	38.214
tree129	-71.8679	0.314764	0	0.829878	7.387	0	32.769	41.382
tree130	-66.3029	0.280702	0	0.758245	6.395	0	28.541	38.146
tree131	-68.4189	0.322247	0	0.825735	7.391	0	30.857	39.466
tree132	-63.5977	0.308563	0	0.794851	6.699	0	28.069	37.37
tree133	-75.5341	0.314929	0	0.859145	7.403	0	36.263	44.86
tree134	-72.911	0.317293	0	0.847886	7.376	0	33.842	42.466
tree135	-72.4338	0.310551	0	0.821257	7.371	0	32.756	41.385
tree136	-73.2108	0.315562	0	0.837696	7.434	0	33.935	42.501
tree137	-62.425	0.287484	0	0.753561	6.46	0	26.818	36.358
tree138	-66.9372	0.303599	0	0.805285	6.538	0	30.514	39.976
