SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree0	-44.8316	1e-06	0.31	0	0	7.843	0	8.157
tree1	-49.2257	1e-06	0.31	0	0	9.075	0	6.925
tree2	-49.2257	1e-06	0.31	0	0	9.028	0	6.972
tree3	-48.7836	1e-06	0.31	0	0	8.69	0	7.31
tree4	-48.9738	1e-06	0.31	0	0	8.852	0	7.148
tree5	-48.7836	1e-06	0.31	0	0	8.79	0	7.21
tree6	-48.9738	1e-06	0.31	0	0	8.876	0	7.124
tree7	-48.9738	1e-06	0.31	0	0	8.826	0	7.174
tree8	-48.7836	1e-06	0.31	0	0	8.745	0	7.255
tree9	-48.9738	1e-06	0.31	0	0	8.874	0	7.126
tree10	-44.7214	1e-06	0.31	0	0	7.783	0	8.217
tree11	-48.1794	1e-06	0.31	0	0	8.64	0	7.36
tree12	-44.7214	1e-06	0.31	0	0	7.814	0	8.186
tree13	-48.7794	1e-06	0.31	0	0	8.941	0	7.059
tree14	-48.3105	1e-06	0.31	0	0	9.142	0	6.858
tree15	-48.9738	1e-06	0.31	0	0	8.82	0	7.18
tree16	-50.2566	1e-06	0.31	0	0	9.179	0	6.821
tree17	-47.9082	1e-06	0.31	0	0	8.737	0	7.263
tree18	-48.3105	1e-06	0.31	0	0	9.127	0	6.873
tree19	-47.9082	1e-06	0.31	0	0	8.753	0	7.247
tree20	-47.985	1e-06	0.31	0	0	8.746	0	7.254
tree21	-45.9253	1e-06	0.288328	0	0	7.416	0	8.584
tree22	-46.7245	1e-06	0.31	0	0	8.219	0	7.781
tree23	-48.9738	1e-06	0.31	0	0	8.782	0	7.218
tree24	-48.7794	1e-06	0.31	0	0	8.906	0	7.094
tree25	-46.0413	1e-06	0.31	0	0	8.116	0	7.884
tree26	-48.9738	1e-06	0.31	0	0	8.808	0	7.192
tree27	-44.6464	1e-06	0.31	0	0	7.812	0	8.188
tree28	-48.9738	1e-06	0.31	0	0	8.851	0	7.149
