SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree0	-44.6712	0.00158988	0.25268	0.193888	0.008	7.403	3.527	12.116
tree1	-44.6994	0.000110189	0.186114	0.193221	0.001	6.473	5.118	14.644
tree2	-45.9169	1e-06	0.244904	0.207728	0	7.534	4.482	12.948
tree3	-45.9447	1e-06	0.248485	0.205668	0	7.57	4.364	12.794
tree4	-44.2669	1e-06	0.189517	0.180797	0	6.421	4.507	14.086
tree5	-45.3185	1e-06	0.251699	0.163182	0	7.195	3.59	12.395
tree6	-44.2669	1e-06	0.189517	0.180797	0	6.395	4.43	14.035
tree7	-44.164	1e-06	0.215633	0.174332	0	6.75	3.895	13.145
tree8	-45.3375	0.000180829	0.190931	0.189988	0	5.801	4.895	15.094
tree9	-44.2669	1e-06	0.189517	0.180797	0	6.504	4.429	13.925
tree10	-43.8954	1e-06	0.250032	0.139305	0	7.074	2.738	11.664
tree11	-43.5854	1e-06	0.180112	0.135324	0	5.976	3.538	13.562
tree12	-44.2747	0.000230194	0.26105	0.146903	0	7.303	2.795	11.492
tree13	-42.5962	1e-06	0.147976	0.162389	0	4.625	4.278	15.653
tree14	-43.7965	1e-06	0.157309	0.165561	0	4.916	4.395	15.479
tree15	-42.3112	1e-06	0.149075	0.145093	0	4.529	3.903	15.374
tree16	-45.4267	1e-06	0.218688	0.21015	0	7.064	4.872	13.808
tree17	-45.0352	1e-06	0.204001	0.198948	0	6.965	4.862	13.897
tree18	-45.1102	1e-06	0.210038	0.197485	0	7.004	4.868	13.864
tree19	-45.0943	1e-06	0.233313	0.193272	0	7.501	4.035	12.534
tree20	-45.0155	1e-06	0.219646	0.194467	0	7.13	4.375	13.245
tree21	-45.2313	4.57916e-05	0.23906	0.135926	0	6.832	2.984	12.152
tree22	-44.1466	1e-06	0.235702	0.162979	0	7.581	3.187	11.606
tree23	-44.2669	1e-06	0.189517	0.180797	0	6.61	4.427	13.817
tree24	-44.4805	1e-06	0.210145	0.188623	0	6.754	4.539	13.785
tree25	-44.0729	2.62126e-05	0.250602	0.125561	0	7.045	2.632	11.587
tree26	-44.164	1e-06	0.215633	0.174332	0	6.845	3.991	13.146
tree27	-44.0874	1e-06	0.239262	0.145291	0	6.914	2.969	12.055
tree28	-42.2259	0.00328206	0.165453	0.15368	0.008	4.684	3.767	15.075
tree29	-44.2669	1e-06	0.189517	0.180797	0	6.424	4.452	14.028
tree30	-44.1346	1e-06	0.226395	0.176686	0	6.907	3.939	13.032
tree31	-43.5415	0.000301902	0.176241	0.220941	0.003	6.597	5.622	15.022
tree32	-48.5477	3.06523e-06	0.278047	0.159462	0	8.309	2.939	10.63
tree33	-42.3112	1e-06	0.149075	0.145093	0	4.523	3.901	15.378
tree34	-43.781	1e-06	0.245603	0.130918	0	6.91	2.844	11.934
tree35	-44.7465	3.43406e-06	0.249212	0.191454	0	7.522	3.86	12.338
tree36	-45.0155	1e-06	0.219646	0.194467	0	7.214	4.516	13.302
tree37	-43.5952	0.000153764	0.248836	0.154794	0	6.75	3.197	12.447
tree38	-43.5585	8.11329e-06	0.161581	0.163121	0	4.94	4.239	15.299
tree39	-42.3697	1e-06	0.149144	0.148988	0	4.64	3.917	15.277
tree40	-44.5407	1e-06	0.23974	0.155877	0	7.441	3.021	11.58
tree41	-44.4805	1e-06	0.210145	0.188623	0	6.805	4.514	13.709
tree42	-43.5105	3.24994e-06	0.271653	0.0289375	0	7.141	0.585	9.444
tree43	-42.5962	1e-06	0.147976	0.162389	0	4.619	4.266	15.647
tree44	-41.5475	1e-06	0.143283	0.0970019	0	4.311	2.533	14.222
tree45	-45.3116	1e-06	0.220944	0.197655	0	7.121	4.475	13.354
tree46	-45.9121	5.17643e-05	0.22128	0.19807	0	7.349	4.569	13.22
tree47	-42.3112	1e-06	0.149075	0.145093	0	4.498	3.931	15.433
tree48	-43.5269	1e-06	0.211927	0.160288	0	7.246	3.474	12.228
tree49	-40.5292	0.00318556	0.168899	0.155676	0.009	5.803	3.814	14.002
tree50	-46.1319	1e-06	0.217389	0.206155	0	6.65	4.785	14.135
tree51	-41.1527	1e-06	0.189097	0.0745232	0	6.191	1.105	10.914
tree52	-42.5962	1e-06	0.147976	0.162389	0	4.625	4.241	15.616
tree53	-45.7825	1e-06	0.234196	0.192852	0	7.545	4.228	12.683
tree54	-45.9121	5.17643e-05	0.22128	0.19807	0.001	7.462	4.521	13.058
tree55	-45.9121	5.17643e-05	0.22128	0.19807	0	7.363	4.561	13.198
tree56	-44.9086	1e-06	0.239814	0.193222	0	7.584	3.975	12.391
tree57	-43.5952	0.000153764	0.248836	0.154794	0.001	6.84	3.241	12.4
tree58	-45.2315	5.06602e-06	0.200365	0.211947	0	6.844	5.391	14.547
tree59	-43.1727	1e-06	0.215592	0.158408	0	7.667	2.98	11.313
tree60	-44.2669	1e-06	0.189517	0.180797	0	6.343	4.469	14.126
tree61	-44.164	1e-06	0.215633	0.174332	0	6.715	3.986	13.271
tree62	-46.1319	1e-06	0.217389	0.206155	0	6.602	4.705	14.103
tree63	-45.7825	1e-06	0.234196	0.192852	0	7.522	4.26	12.738
tree64	-42.3112	1e-06	0.149075	0.145093	0	4.554	3.832	15.278
tree65	-45.0352	1e-06	0.204001	0.198948	0	6.974	4.954	13.98
tree66	-45.7825	1e-06	0.234196	0.192852	0	7.51	4.29	12.78
tree67	-43.781	1e-06	0.245603	0.130918	0	6.888	2.862	11.974
tree68	-45.0155	1e-06	0.219646	0.194467	0	7.195	4.415	13.22
tree69	-44.2932	1e-06	0.185439	0.195274	0	6.439	5.251	14.812
tree70	-43.6209	5.99898e-06	0.162646	0.15982	0	4.932	4.28	15.348
tree71	-45.0155	1e-06	0.219646	0.194467	0	7.179	4.536	13.357
tree72	-45.0155	1e-06	0.219646	0.194467	0	7.108	4.261	13.153
tree73	-44.1346	1e-06	0.226395	0.176686	0	6.89	3.946	13.056
tree74	-44.164	1e-06	0.215633	0.174332	0	6.781	4.017	13.236
tree75	-44.164	1e-06	0.215633	0.174332	0	6.741	3.96	13.219
tree76	-44.2932	1e-06	0.185439	0.195274	0	6.38	5.388	15.008
tree77	-45.2315	5.06602e-06	0.200365	0.211947	0	6.83	5.308	14.478
