SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree0	-11352.2	0	0	10	0.267	138.481	152.571	29.823
tree1	-11352.2	0	0	10	0.289	168.271	179.63	27.07
tree2	-11352.2	0	0	10	0.273	152.8	165.653	28.58
tree3	-11352.2	0	0	10	0.244	156.09	168.643	28.309
tree4	-11352.2	0	0	10	0.307	168.268	179.588	27.013
tree5	-11352.2	0	0	10	0.275	142.228	157.548	31.045
tree6	-11352.2	0	0	10	0.295	167.465	179.253	27.493
tree7	-11352.2	0	0	10	0.259	153.334	166.504	28.911
tree8	-11352.2	0	0	10	0.245	155.144	167.792	28.403
tree9	-11352.2	0	0	10	0.285	166.766	178.117	27.066
tree10	-11352.2	0	0	10	0.247	139.65	154.101	30.204
tree11	-11352.2	0	0	10	0.298	167.706	179.008	27.004
tree12	-11352.2	0	0	10	0.263	145.367	158.008	28.378
tree13	-11352.2	0	0	10	0.285	156.168	167.751	27.298
tree14	-11352.2	0	0	10	0.258	154.815	168.146	29.073
tree15	-11352.2	0	0	10	0.309	155.365	168.668	28.994
tree16	-11352.2	0	0	10	0.287	167.573	179.687	27.827
tree17	-11352.2	0	0	10	0.275	164.468	175.542	26.799
tree18	-11352.2	0	0	10	0.263	166.466	177.882	27.153
tree19	-11352.2	0	0	10	0.27	149.409	162.141	28.462
tree20	-11352.2	0	0	10	0.281	164.47	176.953	28.202
tree21	-11352.2	0	0	10	0.286	154.325	167.997	29.386
tree22	-11352.2	0	0	10	0.292	164.44	176.423	27.691
tree23	-11352.2	0	0	10	0.273	172.837	184.434	27.324
tree24	-11352.2	0	0	10	0.245	154.689	166.417	27.483
tree25	-11352.2	0	0	10	0.276	141.193	154.069	28.6
tree26	-11352.2	0	0	10	0.299	157.171	170.284	28.814
tree27	-11352.2	0	0	10	0.275	139.232	152.056	28.549
tree28	-11352.2	0	0	10	0.278	140.803	156.939	31.858
tree29	-11352.2	0	0	10	0.243	166.64	178.24	27.357
tree30	-11352.2	0	0	10	0.252	138.137	153.371	30.982
tree31	-11352.2	0	0	10	0.253	137.209	151.765	30.303
tree32	-11352.2	0	0	10	0.275	165.795	178.57	28.5
tree33	-11352.2	0	0	10	0.284	157.878	171.731	29.569
tree34	-11352.2	0	0	10	0.271	149.119	161.34	27.95
tree35	-11352.2	0	0	10	0.275	135.608	151.802	31.919
tree36	-11352.2	0	0	10	0.285	165.469	178.53	28.776
tree37	-11352.2	0	0	10	0.27	139.166	152.741	29.305
tree38	-11352.2	0	0	10	0.285	152.129	166.19	29.776
tree39	-11352.2	0	0	10	0.29	156.92	170.309	29.099
tree40	-11352.2	0	0	10	0.272	165.833	178.685	28.58
tree41	-11352.2	0	0	10	0.239	154.91	166.752	27.603
tree42	-11352.2	0	0	10	0.289	138.009	151.33	29.032
tree43	-11352.2	0	0	10	0.29	155.543	167.285	27.452
tree44	-11352.2	0	0	10	0.289	158.056	171.432	29.087
tree45	-11352.2	0	0	10	0.269	169.612	180.486	26.605
tree46	-11352.2	0	0	10	0.312	166.957	178.097	26.828
tree47	-11352.2	0	0	10	0.277	154.938	168.679	29.464
tree48	-11352.2	0	0	10	0.32	166.572	179.353	28.461
tree49	-11352.2	0	0	10	0.274	163.519	173.427	25.634
tree50	-11352.2	0	0	10	0.258	153.377	167.307	29.672
tree51	-11352.2	0	0	10	0.284	166.678	178.793	27.831
tree52	-11352.2	0	0	10	0.256	158.966	170.853	27.631
tree53	-11352.2	0	0	10	0.266	167.106	179.34	27.968
tree54	-11352.2	0	0	10	0.241	167.301	178.109	26.567
tree55	-11352.2	0	0	10	0.293	166.202	177.124	26.629
tree56	-11352.2	0	0	10	0.246	153.468	167.787	30.073
tree57	-11352.2	0	0	10	0.253	139.773	153.198	29.172
tree58	-11352.2	0	0	10	0.255	167.303	176.736	25.178
tree59	-11352.2	0	0	10	0.261	154.947	169.499	30.291
tree60	-11352.2	0	0	10	0.291	167.257	179	27.452
tree61	-11352.2	0	0	10	0.276	155.826	169.084	28.982
tree62	-11352.2	0	0	10	0.292	152.045	165.846	29.509
tree63	-11352.2	0	0	10	0.252	167.54	179.218	27.426
tree64	-11352.2	0	0	10	0.281	153.344	166.625	29
tree65	-11352.2	0	0	10	0.244	167.698	179.048	27.106
tree66	-11352.2	0	0	10	0.294	165.738	177.685	27.653
tree67	-11352.2	0	0	10	0.274	148.342	159.978	27.362
tree68	-11352.2	0	0	10	0.268	164.213	177.186	28.705
tree69	-11352.2	0	0	10	0.284	166.739	176.554	25.531
tree70	-11352.2	0	0	10	0.279	155.542	168.324	28.503
tree71	-11352.2	0	0	10	0.292	166.349	179.557	28.916
tree72	-11352.2	0	0	10	0.281	165.636	177.945	28.028
tree73	-11352.2	0	0	10	0.241	137.949	153.049	30.859
tree74	-11352.2	0	0	10	0.293	154.776	167.932	28.863
tree75	-11352.2	0	0	10	0.257	154.041	166.678	28.38
tree76	-11352.2	0	0	10	0.279	169.036	179.263	25.948
tree77	-11352.2	0	0	10	0.283	169.607	179.151	25.261
tree78	-11352.2	0	0	10	0.284	141.83	154.624	28.51
tree79	-11352.2	0	0	10	0.244	165.253	177.331	27.834
tree80	-11352.2	0	0	10	0.294	155.806	168.201	28.101
tree81	-11352.2	0	0	10	0.264	157.901	170.456	28.291
tree82	-11352.2	0	0	10	0.278	152.678	166.459	29.503
tree83	-11352.2	0	0	10	0.271	158.778	173.133	30.084
tree84	-11352.2	0	0	10	0.283	169.706	180.129	26.14
tree85	-11352.2	0	0	10	0.255	148.326	160.221	27.64
tree86	-11352.2	0	0	10	0.293	157.945	171.471	29.233
tree87	-11352.2	0	0	10	0.278	135.268	150.319	30.773
tree88	-11352.2	0	0	10	0.279	168.8	178.866	25.787
tree89	-11352.2	0	0	10	0.27	139.196	153.301	29.835
tree90	-11352.2	0	0	10	0.267	153.973	167.865	29.625
tree91	-11352.2	0	0	10	0.313	157.063	169.919	28.543
tree92	-11352.2	0	0	10	0.257	153.817	165.501	27.427
tree93	-11352.2	0	0	10	0.285	137.943	154.193	31.965
tree94	-11352.2	0	0	10	0.28	143.204	155.866	28.382
tree95	-11352.2	0	0	10	0.291	156.114	168.426	28.021
tree96	-11352.2	0	0	10	0.257	157.149	170.587	29.181
tree97	-11352.2	0	0	10	0.273	155.083	168.073	28.717
tree98	-11352.2	0	0	10	0.255	155.767	169.601	29.579
tree99	-11352.2	0	0	10	0.263	165.558	178.113	28.292
tree100	-11352.2	0	0	10	0.282	138.399	153.633	30.952
tree101	-11352.2	0	0	10	0.254	138.34	154.763	32.169
tree102	-11352.2	0	0	10	0.291	168.748	180.378	27.339
tree103	-11352.2	0	0	10	0.287	154.004	167.579	29.288
tree104	-11352.2	0	0	10	0.285	156.089	168.913	28.539
tree105	-11352.2	0	0	10	0.28	155.818	167.987	27.889
