SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree0	-44.8316	0	0.31	0	0	7.828	0	8.172
tree1	-49.0718	0	0.39125	0	0	9.335	0	6.665
tree2	-49.0718	0	0.39125	0	0	9.296	0	6.704
tree3	-48.6964	0	0.3725	0	0	8.957	0	7.043
tree4	-48.8683	0	0.37875	0	0	9.086	0	6.914
tree5	-48.6964	0	0.3725	0	0	8.972	0	7.028
tree6	-48.8683	0	0.37875	0	0	9.024	0	6.976
tree7	-48.8683	0	0.37875	0	0	9.06	0	6.94
tree8	-48.6964	0	0.3725	0	0	8.928	0	7.072
tree9	-48.8683	0	0.37875	0	0	9.03	0	6.97
tree10	-44.7214	0	0.31	0	0	7.792	0	8.208
tree11	-48.1149	0	0.36	0	0	8.795	0	7.205
tree12	-44.7214	0	0.31	0	0	7.778	0	8.222
tree13	-48.6608	0	0.381875	0	0	9.125	0	6.875
tree14	-48.1607	0	0.388125	0	0	9.216	0	6.784
tree15	-48.8683	0	0.37875	0	0	9.052	0	6.948
tree16	-50.0755	0	0.3975	0	0	9.395	0	6.605
tree17	-47.8261	0	0.36625	0	0	8.868	0	7.132
tree18	-48.1607	0	0.388125	0	0	9.189	0	6.811
tree19	-47.8261	0	0.36625	0	0	8.819	0	7.181
tree20	-47.9098	0	0.36625	0	0	8.792	0	7.208
tree21	-45.9253	0	0.288125	0	0	7.391	0	8.609
tree22	-46.7095	0	0.331875	0	0	8.25	0	7.75
tree23	-48.8683	0	0.37875	0	0	9.061	0	6.939
tree24	-48.6608	0	0.381875	0	0	9.096	0	6.904
tree25	-46.0303	0	0.331875	0	0	8.182	0	7.818
tree26	-48.8683	0	0.37875	0	0	9.056	0	6.944
tree27	-44.6463	0	0.31	0	0	7.807	0	8.193
tree28	-48.8683	0	0.37875	0	0	9.013	0	6.987
tree29	-48.8683	0	0.37875	0	0	9.046	0	6.954
tree30	-48.8683	0	0.37875	0	0	9.069	0	6.931
tree31	-48.6964	0	0.3725	0	0	8.934	0	7.066
tree32	-49.7659	0	0.325625	0	0	8.074	0	7.926
tree33	-48.8683	0	0.37875	0	0	9.055	0	6.945
tree34	-45.7273	0	0.31625	0	0	7.921	0	8.079
tree35	-47.9098	0	0.36625	0	0	8.835	0	7.165
tree36	-47.9098	0	0.36625	0	0	8.826	0	7.174
tree37	-45.7273	0	0.31625	0	0	7.923	0	8.077
tree38	-47.9098	0	0.36625	0	0	8.8	0	7.2
tree39	-47.2425	0	0.37875	0	0	9.056	0	6.944
tree40	-46.0423	0	0.288125	0	0	7.366	0	8.634
tree41	-48.6608	0	0.381875	0	0	9.123	0	6.877
tree42	-43.5377	0	0.26	0	0	6.921	0	9.079
tree43	-48.6608	0	0.381875	0	0	9.062	0	6.938
tree44	-48.1149	0	0.36	0	0	8.725	0	7.275
tree45	-48.6964	0	0.3725	0	0	8.952	0	7.048
tree46	-48.074	0	0.385	0	0	9.12	0	6.88
tree47	-48.8683	0	0.37875	0	0	8.992	0	7.008
tree48	-46.732	0	0.331875	0	0	8.247	0	7.753
tree49	-42.7047	0	0.27875	0	0	7.212	0	8.788
tree50	-47.8393	0	0.363125	0	0	8.774	0	7.226
tree51	-41.592	0	0.225625	0	0	6.084	0	9.916
tree52	-48.6608	0	0.381875	0	0	9.124	0	6.876
tree53	-47.8393	0	0.363125	0	0	8.828	0	7.172
