SpTree	logl	delta	tau	lambda	duplications	transfers	losses	speciations
tree0	-44.6301	0	0.24556	0.17606	0	7.413	3.345	11.932
tree1	-44.6971	0	0.184677	0.192338	0	6.616	5.079	14.463
tree2	-45.9169	0	0.24419	0.209178	0	7.507	4.552	13.045
tree3	-45.9446	0	0.247154	0.205827	0	7.51	4.352	12.842
tree4	-44.2646	0	0.195701	0.178185	0	6.451	4.39	13.939
tree5	-45.3184	0	0.253476	0.163524	0	7.175	3.506	12.331
tree6	-44.2646	0	0.195701	0.178185	0	6.375	4.42	14.045
tree7	-44.1639	0	0.215064	0.175447	0	6.748	3.918	13.17
tree8	-45.3304	0	0.189079	0.198656	0	5.832	4.974	15.142
tree9	-44.2646	0	0.195701	0.178185	0	6.391	4.379	13.988
tree10	-43.8947	0	0.247105	0.136115	0	7.034	2.728	11.694
tree11	-43.585	0	0.182127	0.133991	0	5.972	3.496	13.524
tree12	-44.2684	0	0.256424	0.14095	0	7.266	2.648	11.382
tree13	-42.5906	0	0.15081	0.153436	0	4.61	4.238	15.628
tree14	-43.7967	0	0.159149	0.163532	0	4.924	4.404	15.48
tree15	-42.3111	0	0.147972	0.14542	0	4.525	3.903	15.378
tree16	-45.4268	0	0.218513	0.211321	0	7.076	4.928	13.852
tree17	-45.0351	0	0.204686	0.201772	0	7.052	4.916	13.864
tree18	-45.1101	0	0.207411	0.198402	0	6.964	4.77	13.806
tree19	-45.0936	0	0.237035	0.197529	0	7.457	4.201	12.744
tree20	-45.0154	0	0.216724	0.195202	0	7.125	4.454	13.329
tree21	-45.2291	0	0.238114	0.142853	0	6.879	3.083	12.204
tree22	-44.1358	0	0.229289	0.147502	0	7.608	2.922	11.314
tree23	-44.2646	0	0.195701	0.178185	0	6.518	4.394	13.876
tree24	-44.4806	0	0.207961	0.18759	0	6.793	4.531	13.738
tree25	-44.0724	0	0.252984	0.126284	0	6.977	2.663	11.686
tree26	-44.1639	0	0.215064	0.175447	0	6.906	3.988	13.082
tree27	-44.0877	0	0.237203	0.145875	0	6.885	2.999	12.114
tree28	-42.134	0	0.155974	0.14042	0	4.634	3.707	15.073
tree29	-44.2646	0	0.195701	0.178185	0	6.495	4.339	13.844
tree30	-44.1346	0	0.22768	0.177373	0	6.857	3.953	13.096
tree31	-43.5315	0	0.184464	0.221719	0	6.673	5.491	14.818
tree32	-48.5476	0	0.278608	0.158146	0	8.29	2.908	10.618
tree33	-42.3111	0	0.147972	0.14542	0	4.528	3.907	15.379
tree34	-43.7804	0	0.246956	0.133827	0	6.913	2.75	11.837
tree35	-44.7465	0	0.248102	0.189143	0	7.523	3.765	12.242
tree36	-45.0154	0	0.216724	0.195202	0	7.134	4.509	13.375
tree37	-43.5863	0	0.23925	0.147016	0	6.81	3.168	12.358
tree38	-43.5582	0	0.159522	0.16018	0	4.925	4.324	15.399
tree39	-42.3695	0	0.149632	0.146275	0	4.547	3.873	15.326
tree40	-44.5408	0	0.240802	0.154218	0	7.39	3.165	11.775
tree41	-44.4806	0	0.207961	0.18759	0	6.79	4.408	13.618
tree42	-43.5106	0	0.268984	0.0317878	0	7.125	0.697	9.572
tree43	-42.5906	0	0.15081	0.153436	0	4.621	4.219	15.598
tree44	-41.5472	0	0.142739	0.0955452	0	4.308	2.508	14.2
tree45	-45.3115	0	0.219431	0.197195	0	7.208	4.611	13.403
tree46	-45.9107	0	0.227506	0.196731	0	7.369	4.437	13.068
tree47	-42.3111	0	0.147972	0.14542	0	4.475	3.879	15.404
tree48	-43.527	0	0.213786	0.160701	0	7.204	3.463	12.259
tree49	-40.4505	0	0.170377	0.144464	0	5.843	3.749	13.906
tree50	-46.1319	0	0.218633	0.204299	0	6.559	4.732	14.173
tree51	-41.1502	0	0.195128	0.0723063	0	6.111	1.164	11.053
tree52	-42.5906	0	0.15081	0.153436	0	4.629	4.275	15.646
tree53	-45.7821	0	0.236794	0.203217	0	7.531	4.282	12.751
tree54	-45.9107	0	0.227506	0.196731	0	7.435	4.458	13.023
tree55	-45.9107	0	0.227506	0.196731	0	7.535	4.507	12.972
tree56	-44.9085	0	0.239558	0.195271	0	7.527	3.989	12.462
tree57	-43.5863	0	0.23925	0.147016	0	6.821	3.117	12.296
tree58	-45.2314	0	0.199607	0.210295	0	6.976	5.299	14.323
tree59	-43.1806	0	0.220156	0.171679	0	7.692	3.184	11.492
tree60	-44.2646	0	0.195701	0.178185	0	6.509	4.354	13.845
tree61	-44.1639	0	0.215064	0.175447	0	6.768	4.008	13.24
tree62	-46.1319	0	0.218633	0.204299	0	6.675	4.658	13.983
tree63	-45.7821	0	0.236794	0.203217	0	7.558	4.457	12.899
tree64	-42.3111	0	0.147972	0.14542	0	4.503	3.928	15.425
tree65	-45.0351	0	0.204686	0.201772	0	6.993	4.937	13.944
tree66	-45.7821	0	0.236794	0.203217	0	7.628	4.354	12.726
tree67	-43.7804	0	0.246956	0.133827	0	6.884	2.825	11.941
tree68	-45.0154	0	0.216724	0.195202	0	7.118	4.349	13.231
tree69	-44.2942	0	0.181631	0.1932	0	6.373	5.328	14.955
tree70	-43.6207	0	0.162214	0.159823	0	4.99	4.32	15.33
tree71	-45.0154	0	0.216724	0.195202	0	7.064	4.466	13.402
tree72	-45.0154	0	0.216724	0.195202	0	7.145	4.391	13.246
tree73	-44.1346	0	0.22768	0.177373	0	6.833	3.912	13.079
tree74	-44.1639	0	0.215064	0.175447	0	6.793	3.879	13.086
tree75	-44.1639	0	0.215064	0.175447	0	6.78	4	13.22
tree76	-44.2942	0	0.181631	0.1932	0	6.368	5.192	14.824
tree77	-45.2314	0	0.199607	0.210295	0	6.789	5.396	14.607
