model	logl			delta			tau		lambda			duplications			transfers		losses		speciations
CoSp	-11354.900099999995	0.0			0.0		0.0			0.286193				432.98438500000003	429.477462	12.206884
D	-11354.925199999998	0.01			0.0		0.0			0.286356				433.04462199999995	429.539751	12.208773
DL	-68.5651673		0.29950145799999994	0.0		0.7981049339999999	6.8516509999999995		0.0			30.784117	39.932466
DT	-47.74836500000001	1.0000000000000002e-06	0.307800704	0.0			0.0				8.535214			0.0		7.464786
DTL	-44.2404259		8.014060545000002e-05	0.20935226499999	0.17074058381640003	0.00021				6.571883			3.978344		13.406251000000001
L	-11352.200000000003	0.0			0.0		10.0			0.273837				156.342109		169.052934000000	28.436987999999996
T	-47.6744224		0.0			0.35652812600000	0.0			0.0				8.645157999999999	0.0		7.3548420000000005
TL	-44.23829		0.0			0.209299812	0.17055357036000002	0.0				6.572169			3.97376900000000	13.4016




DTL	-44.2404259		8.014060545000002e-05	0.20935226499999	0.17074058381640003	0.00021				6.571883			3.978344		13.406251000000001

T	-47.6744224		0.0			0.35652812600000	0.0			0.0				8.645157999999999	0.0		7.3548420000000005
