"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",NA,"S_terminal_branches","Buforegularis",1e-06,0.015909,0.018842,0.00086,1
"2",NA,"S_terminal_branches","Hylacinerea",0,0.009544,0.01796,0.000752,1
"3",NA,"S_terminal_branches","Hylaversicolor",0,0.009514,0.017881,0.000703,1
"4",NA,"S_terminal_branches","Hyperoliusviridiflavus",3e-06,0.416637,0.022358,0.007327,1
"5",NA,"S_terminal_branches","Leptodactylusmystaceus",5e-06,0.416756,0.214395,0.004315,1
"6",NA,"S_terminal_branches","Litoriagracilenta",7e-06,0.707027,0.505779,0.006582,1
"7",NA,"S_terminal_branches","Phrynohyasvenulosa",2.1e-05,0.074314,0.049505,0.001448,1
"8",NA,"S_terminal_branches","Physalaemuscuvieri",5e-06,0.573727,0.271762,0.005688,1
"9",NA,"S_terminal_branches","Ptychadenaanchietae",1e-06,0.281536,0.021966,0.003572,1
"10",NA,"S_terminal_branches","Ranarugosa",5e-06,0.35467,0.243655,0.005999,1
"11",NA,"S_terminal_branches","Ranatemporaria",2.6e-05,0.736124,0.642755,0.023624,1
"12",NA,"S_terminal_branches","Rhacophorusarboreus",0,0.01112,0.018815,0.000782,1
"13",NA,"S_terminal_branches","Rhacophorusmaximus",0,0.01752,0.023592,0.00088,1
"14",NA,"S_terminal_branches","Rhacophorusomeimontis",0,0.010482,0.018814,0.00074,1
"15",NA,"S_terminal_branches","Schismadermacarens",0,0.015958,0.01898,0.00095,1
"16",NA,"S_terminal_branches","Smiliscabaudinii",0,0.011748,0.019475,0.000708,1
"17",NA,"S_terminal_branches","Strongylopusfasciatus",1.3e-05,0.497436,0.266312,0.059859,1
"18",NA,"S_terminal_branches","17",2.5e-05,0.270184,0.135988,0.008475,1.002072
"19",NA,"S_terminal_branches","18",1e-06,0.014333,0.014726,0.001037,1.007664
"20",NA,"S_terminal_branches","19",1e-05,0.234025,0.216463,0.012603,0.83434
"21",NA,"S_terminal_branches","20",2e-06,0.117944,0.117478,0.007414,0.921098
"22",NA,"S_terminal_branches","21",3e-06,0.140117,0.073603,0.007113,0.974603
"23",NA,"S_terminal_branches","22",6e-06,0.211299,0.119901,0.006889,1.004603
"24",NA,"S_terminal_branches","23",1e-05,0.204288,0.136045,0.014587,0.957467
"25",NA,"S_terminal_branches","24",7e-06,0.345411,0.242722,0.026356,0.910292
"26",NA,"S_terminal_branches","25",5e-06,0.256317,0.160273,0.024591,0.860238
"27",NA,"S_terminal_branches","26",2e-06,0.159783,0.145642,0.02393,0.81047
"28",NA,"S_terminal_branches","27",4e-06,0.117131,0.08919,0.024597,0.830566
"29",NA,"S_terminal_branches","28",1.8e-05,0.124158,0.044979,0.045924,0.856241
"30",NA,"S_terminal_branches","29",1.8e-05,0.101644,0.053802,0.076933,0.765457
"31",NA,"S_terminal_branches","30",6e-06,0.059714,0.028535,0.062675,0.670241
"32",NA,"S_terminal_branches","31",4e-06,0.055513,0.005682,0.112176,0.581455
"33",NA,"S_terminal_branches","32",2e-06,0,0.000469,0.419911,0.419444
