#GT	ST
EupolystomaAlluaudi	Buforegularis
PolystomaspHC	Hylacinerea
Polystomanearcticum	Hylaversicolor
Polystomamarmorati	Hyperoliusviridiflavus
Polystomasp2	Leptodactylusmystaceus
Parapolystomasp	Litoriagracilenta
Polystomalopezromani	Phrynohyasvenulosa
Polystomacuvieri	Physalaemuscuvieri
Polystomadawiekokis	Ptychadenaanchietae
Diplorchisranae	Ranarugosa
Polystomaintegerrimum	Ranatemporaria
PolystomaspRA	Rhacophorusarboreus
Polystomaindicum	Rhacophorusmaximus
PolystomaspRO	Rhacophorusomeimontis
Eupolystomasp1	Schismadermacarens
Polystomanaevius	Smiliscabaudinii
Polystomatestimagna	Strongylopusfasciatus	
