Dublication   Transfers   Losses  Speciations
Total 	0	11.69	6.95	11.26
Total 	0.03	9.62	6.35	12.7
Total 	0	16	7.32	7.32
Total 	0	14.97	7.7	8.73
Total 	0	15.09	8.36	9.27
Total 	0	14.3	9.48	11.18
Total 	0	11.27	7.62	12.35
Total 	0	14.74	7.63	8.89
Total 	0	11.23	0	4.77
Total 	0	11.94	6.87	10.93
Total 	0	13.28	5.78	8.5
Total 	0	12.5	5.26	8.76
Total 	0	13.55	5.07	7.52
Total 	0	14.38	8.9	10.52
Total 	0	15.1	5.7	6.6
Total 	0	12.97	5.15	8.18
Total 	0	14.09	10.93	12.84
Total 	0	14.53	5.38	6.85
Total 	0.01	12.7	7.21	10.5
Total 	0	12.85	9.25	12.4
Total 	0	15.16	6.28	7.12
Total 	0	13.35	7.79	10.44
Total 	0	16.59	7.42	6.83
Total 	0	16.52	8.58	8.06
Total 	0	14.34	5.83	7.49
Total 	0	14.25	8.06	9.81
Total 	0	15.13	5.52	6.39
Total 	0.01	15.72	7.32	7.59
Total 	0	14.31	6.94	8.63
Total 	0	14.9	6.8	7.9
Total 	0	15.14	6.7	7.56
Total 	0	14.55	8.81	10.26
Total 	0	14.09	7.16	9.07
Total 	0	12.68	7.95	11.27
Total 	0	13.26	5.86	8.6
Total 	0	14.21	6.19	7.98
Total 	0	14.97	8.99	10.02
Total 	0	16.28	8.06	7.78
Total 	0	12.64	6.25	9.61
Total 	0	13.2	7.12	9.92
Total 	0	15.42	9.61	10.19
Total 	0	15.07	7.28	8.21
Total 	0	15.42	6.18	6.76
Total 	0	12.92	4.31	7.39
Total 	0	14.32	8.2	9.88
Total 	0	15.31	6	6.69
Total 	0	14.75	7.42	8.67
Total 	0	11.04	4.9	9.86
Total 	0	15.6	7.41	7.81
Total 	0	15.72	7.39	7.67
Total 	0	15.16	7.73	8.57
Total 	0	13.71	8.59	10.88
Total 	0	15.57	6.46	6.89
Total 	0	15.56	7.82	8.26
Total 	0	14.44	9.18	10.74
Total 	0	14.86	7	8.14
Total 	0	16.13	8.21	8.08
Total 	0	14.76	8.54	9.78
Total 	0	15.85	6.3	6.45
Total 	0	12.76	3.8	7.04
Total 	0	13.11	6.07	8.96
Total 	0	15.59	8.98	9.39
Total 	0	15.66	8.44	8.78
Total 	0	13.4	5.07	7.67
Total 	0	13.02	5.95	8.93
Total 	0	15.05	8.94	9.89
Total 	0	13.07	8.17	11.1
Total 	0	15.25	7.14	7.89
Total 	0	14.57	4.38	5.81
Total 	0	12.66	5.88	9.22
Total 	0.01	15.33	6.15	6.81
Total 	0	14.84	6.06	7.22
Total 	0	13.82	6.95	9.13
Total 	0	14.02	4.95	6.93
Total 	0	12.87	5.33	8.46
Total 	0	16.59	7.15	6.56
Total 	0	15.31	6.09	6.78
Total 	0	14.71	5.33	6.62
Total 	0	14.12	5.26	7.14
Total 	0	12.34	4.21	7.87
Total 	0	15.31	8.14	8.83
Total 	0	16.26	7.59	7.33
Total 	0	12.5	6.4	9.9
Total 	0	15.05	7.21	8.16
Total 	0	12.47	4.13	7.66
Total 	0	16.02	8.47	8.45
Total 	0	14.75	8.08	9.33
Total 	0	14.77	5.94	7.17
Total 	0	16.33	7.28	6.95
Total 	0	12.03	7	10.97
Total 	0	11.82	8.03	12.21
Total 	0	15.34	7.79	8.45
Total 	0	13.99	8.16	10.17
Total 	0	12.75	7.36	10.61
Total 	0	17.04	7.53	6.49
Total 	0	14.31	4.35	6.04
Total 	0	12.95	6.48	9.53
