Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extant_mrca	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
0	-22625.16	-22602.66	-22.50695	1	1	3.48809	3.44353	3.42387	3.38031	3.40841	3.48228	3.41408	3.39635	3.4472	3.36043	3.41617	3.36941	3.40785	3.41776	3.41498	3.43977	3.41994	3.47327	3.4576	3.43946	3.41677	3.42297	3.40999	3.40839	3.38933	3.36731	3.46212	3.41177	3.40209	3.37147	3.41046	3.40615	3.408591	-0.02633277	108.6181	0.02730879	1.226299	0.000976017	27.97983	0.008920612
20	-5634.676	-5648.812	14.13595	0.120593	0.0720013	3.47792	3.44008	3.42626	3.37723	3.39847	3.45549	3.48324	3.44709	3.4143	3.46682	3.40622	3.44775	3.38512	3.38907	3.42575	3.43973	3.44845	3.4379	3.43228	3.42943	3.40681	3.41299	3.41487	3.42132	3.39611	3.42279	3.45202	3.39939	3.39217	3.40613	3.40877	3.39185	3.424154	-0.2851519	66.13765	0.2881306	1.230854	0.002978742	96.72897	0.01347225
40	-5241.236	-5261.963	20.72727	0.112088	0.10886	3.43033	3.40291	3.42626	3.39526	3.46003	3.45549	3.45615	3.46093	3.4143	3.44787	3.40622	3.43591	3.38512	3.42356	3.42575	3.43973	3.41692	3.40083	3.43228	3.38458	3.41023	3.41299	3.41487	3.42132	3.39611	3.43073	3.39906	3.46121	3.39217	3.44855	3.47198	3.41312	3.424154	-0.1579205	69.55471	0.162846	1.230854	0.004925544	33.06153	0.007531645
60	-5232.718	-5250.324	17.60648	0.114382	0.109048	3.41512	3.46224	3.42082	3.41294	3.46393	3.46195	3.42608	3.44774	3.41815	3.44445	3.40025	3.4163	3.42283	3.42742	3.41253	3.4436	3.42077	3.36329	3.43615	3.37799	3.42083	3.41684	3.46504	3.42517	3.39994	3.44042	3.42789	3.46511	3.41474	3.47172	3.45234	3.38329	3.424154	-0.2624768	66.14695	0.2628859	1.230854	0.0004091366	642.5382	0.008370126
80	-5237.627	-5250.844	13.21686	0.114424	0.115206	3.50053	3.44012	3.42082	3.44138	3.46393	3.47358	3.42608	3.41537	3.42044	3.39669	3.45423	3.45004	3.46158	3.41751	3.37765	3.42746	3.42077	3.404	3.44511	3.37799	3.43417	3.41684	3.44312	3.46573	3.44551	3.40045	3.41322	3.37948	3.41474	3.4303	3.36696	3.42269	3.424319	-0.261195	73.58496	0.2625257	1.230903	0.0013307	197.2839	0.01041258
100	-5223.523	-5232.165	8.641791	0.121462	0.119325	3.43267	3.43392	3.45525	3.43223	3.46338	3.368	3.41991	3.41971	3.44736	3.41339	3.44801	3.40678	3.45238	3.43323	3.34335	3.48711	3.44192	3.40208	3.4044	3.42617	3.40538	3.40233	3.43692	3.35683	3.46143	3.36432	3.51605	3.4062	3.40859	3.42412	3.48793	3.46931	3.424319	-0.250785	74.05161	0.2530621	1.230903	0.00227706	111.1355	0.01060656
120	-5223.934	-5229.644	5.709877	0.115472	0.119313	3.45362	3.4203	3.40364	3.48692	3.4726	3.37697	3.42169	3.36937	3.45654	3.37195	3.49102	3.3954	3.39226	3.45267	3.3696	3.4964	3.45981	3.40721	3.42078	3.48866	3.39948	3.48122	3.44607	3.38124	3.40695	3.42278	3.41042	3.39957	3.36364	3.4415	3.38391	3.39326	3.428853	-0.2610664	66.23236	0.2771808	1.232226	0.01611446	17.20075	0.01383958
140	-5221.07	-5225.586	4.515892	0.114537	0.118227	3.47287	3.40112	3.4208	3.41505	3.45579	3.35626	3.37721	3.42442	3.41754	3.354	3.40542	3.48632	3.45432	3.44667	3.42632	3.39947	3.45002	3.40721	3.42783	3.48866	3.43905	3.42021	3.47411	3.38124	3.40695	3.37996	3.41042	3.42007	3.44767	3.45137	3.39675	3.52509	3.428853	-0.3404475	66.10363	0.4578138	1.232226	0.1173662	3.900728	0.01381087
160	-5224.673	-5228.804	4.130786	0.111386	0.115957	3.50159	3.4076	3.42917	3.38306	3.44823	3.40588	3.46682	3.39863	3.41754	3.46346	3.42956	3.37899	3.45432	3.37444	3.42632	3.45868	3.48423	3.40721	3.4038	3.46765	3.38907	3.44412	3.45335	3.38124	3.40695	3.3369	3.35636	3.52901	3.44948	3.44659	3.44242	3.39971	3.428853	-0.2140134	67.69437	0.2336345	1.232226	0.01962103	11.90735	0.01289457
180	-5211.99	-5226.784	14.79452	0.113606	0.118373	3.50185	3.41911	3.39283	3.47632	3.45673	3.40629	3.48028	3.44403	3.41795	3.46388	3.4348	3.41003	3.44967	3.43908	3.43001	3.46534	3.49876	3.45084	3.37997	3.42052	3.38948	3.44453	3.45418	3.40169	3.43195	3.3961	3.4135	3.48806	3.44477	3.42416	3.43148	3.41032	3.433665	-0.2791291	82.64865	0.2960666	1.233628	0.01693751	17.47994	0.009263332
