Iteration	Posterior	Likelihood	Prior	alpha_cytb[1]	alpha_cytb[2]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates_mean	diversification	extinction_rate	ln_branch_rates_mean	speciation_rate	turnover	variance_mean
0	-76348.83	-76372.95	24.1246	1	1	0.348105	0.354836	0.379946	0.336547	0.350159	0.345562	0.366402	0.353728	0.349973	0.346234	0.334901	0.355471	0.378837	0.351126	0.338386	0.342759	0.347082	0.33945	0.348453	0.342899	0.354261	0.351991	0.355016	0.353704	0.310564	0.335228	0.345931	0.347371	0.342059	0.343254	0.334221	0.324402	0.3451829	-0.07365493	0.1182443	-1.063681	0.04458933	2.651851	0.03814181
20	-10397.55	-10463.25	65.70116	0.0812542	0.13126	0.00572846	0.0109044	0.0100763	0.0064694	0.00269974	0.00262382	0.00267684	0.00447664	0.00363493	0.00665111	0.00271397	0.00167501	0.014533	0.0128115	0.00239854	0.000539934	0.00603271	0.0040483	0.00570663	0.0110879	0.00683685	0.00199729	0.0132654	0.00113302	0.0145362	0.00443784	0.00253433	0.00340822	0.00154309	0.00358213	0.00844286	0.00221853	0.008877557	-0.1153225	0.1824639	-4.724229	0.0671414	2.717607	1.041731
40	-9684.008	-9792.185	108.177	0.0406004	0.172841	0.000631454	0.00199828	0.00170959	0.0011771	0.00183706	0.000312902	0.00256027	0.00112271	0.00105841	0.00185681	0.00253803	0.00131595	0.00291336	0.000796027	0.00285157	0.000375869	0.000903083	0.00267183	0.00118485	0.00338323	0.0012348	0.000343162	0.00383203	0.000135389	0.00230477	0.000742079	0.00036395	0.00244348	0.00122006	0.000428885	0.000361549	0.000275065	0.001717144	-0.1082937	0.1544444	-6.367093	0.04615067	3.346525	0.7784957
60	-9450.116	-9577.731	127.6149	0.0196259	0.108196	0.000557647	0.000701056	0.00112006	0.00083764	0.000441856	0.000151998	0.000680346	0.00136449	0.000475215	0.00107183	0.000458799	0.000302308	0.00136252	0.00144847	0.00152299	0.00111857	0.000536128	0.000919658	0.00112876	0.0013063	0.000441618	0.000369944	0.00150169	0.000156404	0.00335213	0.00051413	0.000313024	0.00137305	0.00158851	0.000519341	0.000223547	0.000347605	0.0007217739	-0.0536118	0.09083638	-7.233799	0.03722457	2.440226	0.7726644
80	-9403.857	-9535.925	132.067	0.0534759	0.112093	0.000514683	0.000779085	0.000691627	0.000327569	0.000337839	0.000165795	0.00112974	0.000209703	0.000523968	0.000782192	0.000527077	0.000414614	0.000936397	0.0011968	0.000816834	0.000947537	0.000297629	0.000420956	0.00162252	0.000506086	0.000277379	0.000211472	0.00222402	0.00018601	0.000638409	0.000388954	0.000448112	0.00118879	0.00077837	0.000274861	0.000200877	9.41853e-05	0.0004450629	-0.05051826	0.142325	-7.717295	0.09180677	1.550267	0.7919933
100	-9367.816	-9514.631	146.8154	0.0182367	0.177465	0.000196064	0.000740524	0.000994163	0.000207027	0.000349223	0.000212983	0.000237286	0.000158836	0.000492409	0.00031366	0.000428722	0.000204753	0.000490792	0.000285048	0.00069644	0.000309655	0.000284366	0.000550757	0.000894599	0.000293303	9.93226e-05	0.00015385	0.000933073	0.00029675	0.000675481	0.000428446	0.000289067	0.000752944	0.000238672	0.000396552	0.000184941	0.000181251	0.0002967588	-0.04621389	0.08472025	-8.122591	0.03850636	2.200162	0.5809619
120	-9350.278	-9503.404	153.1253	0.02618	0.0973427	0.000367869	0.000782883	0.000723434	0.000279651	0.000731063	0.000382844	0.000643559	0.000195445	0.000410526	0.00038248	0.000604092	0.000448315	0.000884151	0.000523551	0.000508514	0.000332881	0.000233104	0.000415382	0.000495677	0.000542646	0.000151397	0.000539886	0.000774309	0.000299105	0.000593891	0.000602675	0.000225497	0.000508545	0.000346264	0.00033124	0.000170682	0.000242599	0.0003857858	-0.02132813	0.05641839	-7.860228	0.03509026	1.607808	0.4418634
140	-9362.256	-9505.96	143.7036	0.0327925	0.0547153	0.000130176	0.000599346	0.000782109	0.000195329	0.000149821	0.000726861	0.000158151	0.000125441	0.00111748	0.000636378	0.000180453	0.000175747	0.000588367	0.000220348	0.000337628	0.000215526	0.00014458	0.000233119	0.000665135	0.000407243	0.000143042	0.000277033	0.00102475	0.000872546	0.000360924	0.00044328	0.000138879	0.000643931	0.00031224	0.000215272	0.000173294	9.90479e-05	0.0003275561	-0.001179124	0.1010966	-8.023851	0.09991745	1.011801	0.6708006
160	-9351.469	-9503.398	151.9287	0.0315261	0.147546	0.000378762	0.00036862	0.000513676	0.000295746	0.000197296	0.000129269	0.000146776	0.000211354	0.000329133	0.000722078	0.000338722	0.000279792	0.000561899	0.00037093	0.000358031	0.000570383	0.00025311	0.000400011	0.000844434	0.000338772	0.000246718	0.000219039	0.000464389	0.000524947	0.000890518	0.000277512	0.000196452	0.000721797	0.000259107	0.000131097	0.000163325	0.000133604	0.000312277	0.03802098	0.05421951	-8.07162	0.09224049	0.5878059	0.5312095
180	-9358.872	-9513.664	154.7916	0.061515	0.0159433	0.000268131	0.000508366	0.000569402	0.000260731	0.000229443	0.000214109	0.000290975	0.000373595	0.000560758	0.000430425	0.000332203	0.000241901	0.000508937	0.000237332	0.000350207	0.000463971	0.000312929	0.00033492	0.000865323	0.000260644	0.000126973	0.000238723	0.000483307	0.000276976	0.000841908	0.000216875	0.000315601	0.000535593	0.000288146	0.000580321	0.00017355	0.000471563	0.0003401378	0.01722484	0.1278059	-7.98616	0.1450308	0.8812332	0.5379722
200	-9360.553	-9508.419	147.8666	0.07394	0.0821392	0.000317506	0.000445006	0.000558397	0.000337073	0.00031981	0.000345752	0.000257416	0.00039448	0.000466579	0.000304138	0.000207245	0.000159043	0.000561871	0.000764289	0.000426163	0.000450075	0.000199985	0.000243886	0.00058149	0.000452035	0.000106562	0.000148344	0.000405364	0.000594019	0.000638737	0.000419232	0.00025551	0.000472526	0.000458803	0.00123841	0.000111235	0.000343361	0.0003873571	-0.003634675	0.1542711	-7.856164	0.1506365	1.024129	0.5079737
220	-9356.699	-9513.408	156.7091	0.0842617	0.0335259	0.000382508	0.000402508	0.000446211	0.000234665	0.000269485	0.000609974	0.00039128	0.000256358	0.000727774	0.00047675	0.000343577	0.000388449	0.000492066	0.000712868	0.00035041	0.000441202	0.000265872	0.000559967	0.000545662	0.000395394	0.000231209	0.000219026	0.000299055	0.000435618	0.000726114	0.000303339	0.000248917	0.000638751	0.000330026	0.000180317	0.000136249	0.000285831	0.0003779134	-0.004539899	0.2061695	-7.880846	0.2016296	1.022516	0.340923
240	-9353.069	-9506.748	153.6788	0.0198127	0.0563528	0.000217214	0.000471267	0.000489253	0.000265236	0.000133694	0.0004496	0.00026835	0.000269971	0.000413986	0.000728348	0.000337986	0.000287613	0.000351358	0.000302243	0.000505822	0.000628608	0.000361871	0.000682916	0.000549707	0.000345869	0.000129776	0.000200976	0.000605494	0.000450969	0.000728067	0.000301173	0.000220761	0.000447219	0.000124354	0.000164259	0.000161567	0.000251797	0.0003379833	0.0197523	0.1281063	-7.992514	0.1478586	0.8664108	0.4902315
